title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:よがりなく【善泣・良泣・好泣】	type:［新項目］	date:2013年02月19日	citation:C よがり泣く	book:色単: 現代色単語辞典/単行本/2005年/竹熊健太郎, 友成純一/283/ポット出版	explanation:〔自カ五〕快感のあまり声を上げる。特に、女性について言う。	comment:コメント：項目名として使われ、その下に各種表現があります。	reply:第２版では、立項されませんでした。
title:よじりあわせる【捩合】	type:［新項目］	date:2013年02月19日	citation:2本のビニール線を図222のようによじり合わせただけで, 	book:デジタルエンジニア入門講座 No1電気・電子の基礎/単行本/2003年/塩田 泰仁/27/工学研究社	explanation:〔他サ下一〕よじって合わせる。ねじり合わせる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:よせあげる【寄上】	type:［新項目］	date:2013年02月19日	citation:町村の要計カ一ドはこの調査区要計カードを町村毎に寄せ上げて作成した。	book:統計局研究彙報/新聞・広報・官報/1958年8月1日/総理府統計局/78/総理府統計局	explanation:〔他ガ下一〕一つにまとめあげる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:よせあげる【寄上】	type:［新項目］	date:2013年02月19日	citation:2 背中や、脇に流れたお肉を寄せ上げるようにカップの中におさめます。	book:女優肌をらくらく手に入れる方法/単行本/2007年/水野 もも//ゴマブックス	explanation:〔他ガ下一〕女性が、乳房を大きく見せるために、乳房の周辺の脂肪を乳房に向けて寄せてブラジャーに入れる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:よってたつ【拠立・依立】	type:［新項目］	date:2013年02月19日	citation:吉田内閣、ならびにその拠つて立つ階層は、	book:昭和廿三年版 讀賣政治年鑑 新憲法公布から第一回國会まで/単行本/1947年/讀賣新聞社/47/讀賣新聞社	explanation:〔自タ五〕土台とする。	comment:コメント：現代語で一語となっているように思えます。	reply:第２版では、立項されませんでした。
title:よびあらわす【呼表】	type:［新項目］	date:2013年02月19日	citation:庶民の間では日本酒を個々のブランドより級別で呼び表すほうがむしろポピュラーだった。	book:いらっしゃいませ!雑学居酒屋: 「酒」と「つまみ」のおいしいウンチク/単行本/2002年/ハイパープレス/63/PHP研究所	explanation:〔他ワ五〕呼称する。	comment:コメント：「かきあらわす」に似ていますが、「よびならわす」の影響もあるかもしれません。	reply:第２版では、立項されませんでした。
title:よびしたう【呼慕】	type:［新項目］	date:2013年02月19日	citation:彼を師とも友人とも呼び慕うオーガスト・ダーレスは、	book:「クトゥルフ神話」がよくわかる本/単行本/2008年/株式会社レッカ社 (著, 編集), 佐藤 俊之 (監修) /1/PHP研究所	explanation:〔他ワ五〕呼びならわし、慕う。	comment:コメント：もともと「呼び、慕う」であるものが、融合して一つになっているように見えます。	reply:第２版では、立項されませんでした。
title:よびもとめる【呼求】	type:［新項目］	date:2013年02月19日	citation:しば&amp;#12339;&amp;#12341;敵手（あひて）を呼び求めて。	book:近世説美少年録/単行本/1928年/曲亭馬琴(著), 笹川種郎(校)/828/博文館	explanation:〔他マ下一〕声を上げて名前などを口し、探し求める。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:よみかつ【読勝】	type:［新項目］	date:2013年02月19日	citation:相手の好みを正しく読むのも、プロの技のうちであり、読み勝った自分をほめたい気持ちになるであろう。	book:これならわかる! ドラッカー思考/単行本/2010年/枝川 公一//PHP研究所	explanation:〔自タ五〕勝負などで、相手よりも先を深く読むことによって勝つ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:らちる【拉致】	type:［新項目］	date:2013年02月19日	citation:ええっ、拉致ですか、誰を拉致っちゃったんですか	book:メイド喫茶でわかる労働基準法/単行本/2011年/藤田 遼/143/PHP研究所	explanation:〔他ラ五〕（俗語）拉致する。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:リカバる	type:［新項目］	date:2013年02月19日	citation:スランプから「リカバる力」	book:「稼ぐ力」の育て方: あなたも「デキる人」になれる!/単行本/2006年/秋山 ゆかり/166/PHP研究所	explanation:〔自ラ五〕（「リカバリー」を動詞化したもの）回復する。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:レズる	type:［新項目］	date:2013年02月19日	citation:噂では先生と校長がレズっている写真が、教育委員会の上層部に流れたと聞きましたが、	book:悲しい色やねん/単行本/2004年/増田 裕/119/文芸社	explanation:〔自ラ五〕（「レズ」を動詞化したもの）俗に、女性二人が、性的な行為をする。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:わかちもつ【分持】	type:［新項目］	date:2013年02月19日	citation:神である目然の無限性を分かち持つ我々人間が、	book:哲学ガールズ: 萌えて覚える叡智の学園/単行本/2012年/フィロソフィー学園出版会/103/PHP研究所	explanation:〔他タ五〕分け与えられて持つ。共有する。また、分散して持つ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:わきあげる【沸上・湧上・涌上】	type:［新項目］	date:2013年02月19日	citation:僕は努めて平静を装ったが、湧き上げてくる熱いものを抑えかねた。	book:まわり道/単行本/2001年/高橋 征治/293/文芸社	explanation:〔自ガ下一〕「わきあがる（沸上・湧上・涌上）」に同じ。	comment:コメント：「わきあがる」とは多少違うようですが、とりあえず。	reply:第２版では、立項されませんでした。
title:わきおこす【沸起・湧起】	type:［新項目］	date:2013年02月19日	citation:人間の人格というものが、そういう尊敬の感情を湧き起こす根本になる主体です。	book:燈影撰書22 禅と教育: 片岡仁志の世界/単行本/1994年/片岡 仁志/15/燈影舎	explanation:〔他サ五〕わきおこるようにする。わきおこさせる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:わしづかむ【鷲掴】	type:［新項目］	date:2013年02月19日	citation:脹よかな乳房を鷲掴んだ。	book:神速の剣/単行本/2010年/近衛 龍春/138/PHP研究所	explanation:〔他マ五〕わしづかみにする。	comment:コメント：書籍では「わしづかみにする」に比べるとかなり少ないですが、インターネットを見ると実態としてそれなりに広まっているように見えます。	reply:第２版では、立項されませんでした。
